PERMNO,date,NCUSIP,TICKER,PRC,RET,ewretd,sprtrn
11833,20000103,13810830,CITI,3.43750,-0.067797,0.002878,-0.009549
11833,20000104,13810830,CITI,3.18750,-0.072727,-0.017465,-0.038345
11833,20000105,13810830,CITI,3.43750,0.078431,0.007821,0.001922
11833,20000106,13810830,CITI,3.37500,-0.018182,0.004504,0.000956
11833,20000107,13810830,CITI,3.18750,-0.055556,0.017008,0.027090
11833,20000110,13810830,CITI,3.67188,0.151961,0.015333,0.011190
11833,20000111,13810830,CITI,4.18750,0.140426,-0.006079,-0.013063
11833,20000112,13810830,CITI,4.50000,0.074627,-0.002505,-0.004386
11833,20000113,13810830,CITI,4.75000,0.055556,0.013063,0.012170
11833,20000114,13810830,CITI,4.43750,-0.065789,0.009119,0.010671
11833,20000118,13810830,CITI,4.75000,0.070423,0.012040,-0.006832
11833,20000119,13810830,CITI,4.68750,-0.013158,0.008125,0.000522
11833,20000120,13810830,CITI,4.68750,0.000000,0.003468,-0.007095
11833,20000121,13810830,CITI,4.62500,-0.013333,0.008277,-0.002912
11833,20000124,13810830,CITI,4.75000,0.027027,-0.002527,-0.027634
11833,20000125,13810830,CITI,4.62500,-0.026316,0.000870,0.006065
11833,20000126,13810830,CITI,4.75000,0.027027,0.003851,-0.004213
11833,20000127,13810830,CITI,4.56250,-0.039474,-0.002202,-0.003938
11833,20000128,13810830,CITI,4.43750,-0.027397,-0.015015,-0.027457
11833,20000131,13810830,CITI,4.25000,-0.042254,-0.005371,0.025218
11833,20000201,13810830,CITI,4.18750,-0.014706,0.008028,0.010628
11833,20000202,13810830,CITI,4.25000,0.014925,0.008154,-0.000114
11833,20000203,13810830,CITI,4.25000,0.000000,0.013512,0.011248
11833,20000204,13810830,CITI,4.37500,0.029412,0.006727,-0.000421
11833,20000207,13810830,CITI,4.25000,-0.028571,0.009064,-0.000091
11833,20000208,13810830,CITI,4.25000,0.000000,0.009960,0.012273
11833,20000209,13810830,CITI,4.25000,0.000000,-0.001750,-0.020822
11833,20000210,13810830,CITI,4.18750,-0.014706,0.007364,0.003634
11833,20000211,13810830,CITI,4.09375,-0.022388,-0.001085,-0.020969
11833,20000214,13810830,CITI,4.03125,-0.015267,0.007272,0.002033
11833,20000215,13810830,CITI,4.06250,0.007752,0.001399,0.008713
11833,20000216,13810830,CITI,4.00000,-0.015385,0.004002,-0.010256
11833,20000217,13810830,CITI,4.37500,0.093750,0.010399,0.000425
11833,20000218,13810830,CITI,4.12500,-0.057143,-0.006761,-0.030376
11833,20000222,13810830,CITI,4.03125,-0.022727,-0.000437,0.004517
11833,20000223,13810830,CITI,4.06250,0.007752,0.005510,0.006301
11833,20000224,13810830,CITI,4.00000,-0.015385,-0.001433,-0.005336
11833,20000225,13810830,CITI,4.12500,0.031250,0.000961,-0.014829
11833,20000228,13810830,CITI,4.06250,-0.015152,0.006147,0.011017
11833,20000229,13810830,CITI,4.06250,0.000000,0.018829,0.013627
11833,20000301,13810830,CITI,4.18750,0.030769,0.013974,0.009346
11833,20000302,13810830,CITI,4.37500,0.044776,0.004548,0.001863
11833,20000303,13810830,CITI,4.68750,0.071429,0.014351,0.019837
11833,20000306,13810830,CITI,4.25000,-0.093333,0.004817,-0.012695
11833,20000307,13810830,CITI,4.37500,0.029412,-0.005020,-0.025631
11833,20000308,13810830,CITI,4.12500,-0.057143,0.001191,0.008173
11833,20000309,13810830,CITI,4.25000,0.030303,0.013047,0.025602
11833,20000310,13810830,CITI,4.12500,-0.029412,0.000308,-0.004723
11833,20000313,13810830,CITI,4.37500,0.060606,-0.008059,-0.008207
11833,20000314,13810830,CITI,4.43750,0.014286,-0.012365,-0.017685
11833,20000315,13810830,CITI,4.62500,0.042254,-0.005430,0.024280
11833,20000316,13810830,CITI,4.62500,0.000000,0.015255,0.047639
11833,20000317,13810830,CITI,4.50000,-0.027027,0.003703,0.004114
11833,20000320,13810830,CITI,4.50000,0.000000,-0.014640,-0.005353
11833,20000321,13810830,CITI,4.43750,-0.013889,-0.004312,0.025566
11833,20000322,13810830,CITI,4.43750,0.000000,0.012681,0.004532
11833,20000323,13810830,CITI,4.43750,0.000000,0.006424,0.017799
11833,20000324,13810830,CITI,4.43750,0.000000,0.001122,0.000072
11833,20000327,13810830,CITI,4.50000,0.014085,-0.002379,-0.002357
11833,20000328,13810830,CITI,4.43750,-0.013889,-0.008854,-0.010585
11833,20000329,13810830,CITI,4.43750,0.000000,-0.013118,0.000524
11833,20000330,13810830,CITI,4.37500,-0.014085,-0.017729,-0.013656
11833,20000331,13810830,CITI,4.37500,0.000000,0.013089,0.007164
11833,20000403,13810830,CITI,4.18750,-0.042857,-0.023610,0.004931
11833,20000404,13810830,CITI,3.81250,-0.089552,-0.028033,-0.007464
11833,20000405,13810830,CITI,4.00000,0.049180,0.008262,-0.004924
11833,20000406,13810830,CITI,4.18750,0.046875,0.019032,0.009392
11833,20000407,13810830,CITI,4.09375,-0.022388,0.013005,0.009998
11833,20000410,13810830,CITI,3.87500,-0.053435,-0.016988,-0.007841
11833,20000411,13810830,CITI,3.87500,0.000000,-0.015836,-0.002572
11833,20000412,13810830,CITI,4.00000,0.032258,-0.027053,-0.022271
11833,20000413,13810830,CITI,4.00000,0.000000,-0.015751,-0.018171
11833,20000414,13810830,CITI,3.75000,-0.062500,-0.063522,-0.058278
11833,20000417,13810830,CITI,3.31250,-0.116667,-0.009437,0.033084
11833,20000418,13810830,CITI,3.37500,0.018868,0.048394,0.028663
11833,20000419,13810830,CITI,3.50000,0.037037,0.011476,-0.009808
11833,20000420,13810830,CITI,3.31250,-0.053571,0.003050,0.004953
11833,20000424,13810830,CITI,3.50000,0.056604,-0.017588,-0.003262
11833,20000425,13810830,CITI,3.43750,-0.017857,0.023633,0.033276
11833,20000426,13810830,CITI,3.37500,-0.018182,-0.002105,-0.011134
11833,20000427,13810830,CITI,3.31250,-0.018519,0.004455,0.002690
11833,20000428,13810830,CITI,3.43750,0.037736,0.014912,-0.008526
11833,20000501,13810830,CITI,3.43750,0.000000,0.018069,0.010892
11833,20000502,13810830,CITI,3.37500,-0.018182,-0.008385,-0.014957
11833,20000503,13810830,CITI,3.37500,0.000000,-0.014452,-0.021566
11833,20000504,13810830,CITI,3.25000,-0.037037,0.006214,-0.003908
11833,20000505,13810830,CITI,3.25000,0.000000,0.008431,0.016360
11833,20000508,13810830,CITI,3.37500,0.038462,-0.006955,-0.005905
11833,20000509,13810830,CITI,3.12500,-0.074074,-0.010127,-0.008447
11833,20000510,13810830,CITI,3.06250,-0.020000,-0.023452,-0.020600
11833,20000511,13810830,CITI,3.00000,-0.020408,0.013091,0.017902
11833,20000512,13810830,CITI,3.09375,0.031250,0.004587,0.009341
11833,20000515,13810830,CITI,3.00000,-0.030303,0.004772,0.022098
11833,20000516,13810830,CITI,2.93750,-0.020833,0.008270,0.009419
11833,20000517,13810830,CITI,2.93750,0.000000,-0.006210,-0.012442
